filepath,duration
data/raw_audios/en/2018/20180529-0900-PLENARY-17_en.ogg,4331.0788125
data/raw_audios/en/2015/20151027-0900-PLENARY-17_en.ogg,9.8916875
data/raw_audios/en/2013/20131023-0900-PLENARY-12_en.ogg,1260.8003125
data/raw_audios/en/2011/20111117-0900-PLENARY-4_en.ogg,3090.908875
data/raw_audios/en/2009/20091126-0900-PLENARY-18_en.ogg,10.0310625
data/raw_audios/en/2012/20120911-0900-PLENARY-9_en.ogg,64.969625
data/raw_audios/en/2013/20130611-0900-PLENARY-18_en.ogg,3756.20975
data/raw_audios/en/2010/20101123-0900-PLENARY-15_en.ogg,4517.4076875
data/raw_audios/en/2018/20180116-0900-PLENARY-11_en.ogg,10.9598125
data/raw_audios/en/2015/20150908-0900-PLENARY-17_en.ogg,4248.6589375
data/raw_audios/en/2013/20130911-0900-PLENARY-1_en.ogg,40.8671875
data/raw_audios/en/2017/20171005-0900-PLENARY-3_en.ogg,4585.1515625
data/raw_audios/en/2016/20160121-0900-PLENARY-14_en.ogg,2008.9440625
data/raw_audios/en/2012/20120119-0900-PLENARY-7_en.ogg,73.653875
data/raw_audios/en/2015/20150519-0900-PLENARY-13_en.ogg,50.7589375
data/raw_audios/en/2009/20090112-0900-PLENARY-22_en.ogg,10.8669375
data/raw_audios/en/2016/20161124-0900-PLENARY-1_en.ogg,16.9505625
data/raw_audios/en/2014/20140313-0900-PLENARY-5_en.ogg,64.9231875
data/raw_audios/en/2017/20171002-0900-PLENARY-12_en.ogg,1646.248375
data/raw_audios/en/2011/20110117-0900-PLENARY-8_en.ogg,2250.7629375
data/raw_audios/en/2012/20121023-0900-PLENARY-1_en.ogg,42.492625
data/raw_audios/en/2010/20101021-0900-PLENARY-11_en.ogg,141.6885625
data/raw_audios/en/2012/20120119-0900-PLENARY-5_en.ogg,1474.517375
data/raw_audios/en/2018/20180705-0900-PLENARY-19_en.ogg,10.9598125
data/raw_audios/en/2011/20110310-0900-PLENARY-20_en.ogg,11.2849375
data/raw_audios/en/2010/20100309-0900-PLENARY-4_en.ogg,3135.8633125
data/raw_audios/en/2010/20100225-0900-PLENARY-8_en.ogg,4.9690625
data/raw_audios/en/2009/20090309-0900-PLENARY-5_en.ogg,90.929625
data/raw_audios/en/2018/20180206-0900-PLENARY-3_en.ogg,66.943125
data/raw_audios/en/2013/20131009-0900-PLENARY-2_en.ogg,8.219875
data/raw_audios/en/2012/20120216-0900-PLENARY-9_en.ogg,2016.7510625
data/raw_audios/en/2013/20131212-0900-PLENARY-3_en.ogg,5976.6460625
data/raw_audios/en/2011/20110310-0900-PLENARY-3_en.ogg,3333.65125
data/raw_audios/en/2014/20140115-0900-PLENARY-8_en.ogg,2564.047
data/raw_audios/en/2013/20130311-0900-PLENARY-21_en.ogg,19.0404375
data/raw_audios/en/2012/20120509-0900-PLENARY-12_en.ogg,3552.522875
data/raw_audios/en/2011/20110926-0900-PLENARY-3_en.ogg,28.0963125
data/raw_audios/en/2016/20160411-0900-PLENARY-17_en.ogg,949.1156875
data/raw_audios/en/2017/20171130-0900-PLENARY-1_en.ogg,22.9645625
data/raw_audios/en/2014/20141022-0900-PLENARY-3_en.ogg,10426.6223125
